구분,시설명,주소,문의처,위도,경도,정원,현원
초등돌봄교실,인천가림초등학교,장고개로293번길 29,032-571-6230,37.49058351,126.6810501,0,0
초등돌봄교실,인천가석초등학교,서달로 174,032-583-0271,37.51475728,126.6796755,0,0
초등돌봄교실,인천가원초등학교,청중로478번길 6,032-569-6436,37.52921844,126.6641213,135,134
초등돌봄교실,인천가정초등학교,장고개로 336-1,032-576-9980,37.49166135,126.6884322,0,0
초등돌봄교실,인천가좌초등학교,장고개로309번길 5,032-576-7094,37.4901503,126.6835279,0,0
초등돌봄교실,인천가현초등학교,염곡로 417,032-579-7388,37.52231349,126.6684961,144,144
초등돌봄교실,인천간재울초등학교,승학로 433,032-628-7385,37.56033764,126.6722937,0,0
초등돌봄교실,인천건지초등학교,건지로318번길 39,032-628-5855,37.49548863,126.6774856,0,0
초등돌봄교실,인천검단초등학교,마전로115번길 24,032-563-5988,37.61079703,126.6697067,0,0
초등돌봄교실,인천검단호수초등학교,독정로324번길 26,032-458-1100,37.60885144,126.6834777,0,0
초등돌봄교실,인천검암초등학교,승학로599번길 45,032-564-5337,37.56796266,126.678293,0,0
초등돌봄교실,인천경명초등학교,크리스탈로 130,032-590-9300,37.5369986,126.6373144,0,0
초등돌봄교실,인천경서초등학교,경서로31번길 31,032-569-0483,37.55666143,126.650985,0,0
초등돌봄교실,인천경연초등학교,차오름로 64,032-510-7215,37.5384146,126.6261709,96,88
초등돌봄교실,인천공촌초등학교,심곡로188번길 21,032-569-8837,37.54867977,126.6832573,0,0
초등돌봄교실,인천금곡초등학교,완정로228번길 19,032-566-2653,37.6054434,126.65061,40,30
초등돌봄교실,인천능내초등학교,검단로540번길 23,032-628-8263,37.60244235,126.6665079,0,0
초등돌봄교실,인천단봉초등학교,단봉로 122,032-590-8020,37.59843764,126.6377448,80,87
초등돌봄교실,인천당하초등학교,청마로 144,032-567-6891,37.59005774,126.6776991,0,0
초등돌봄교실,인천도담초등학교,청라커낼로 217,032-569-6657,37.52782132,126.6439914,0,0
